id,title,link,pillar,topic,level,summary
OPS07-BP01,Ensure personnel capability,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_ready_to_support_personnel_capability.html,Operational Excellence,Operational readiness and change management,High,"**Compliance Control for Trained Personnel:**Ensure sufficient trained personnel to support workload operations and troubleshoot incidents. Verify team members are trained on the platform and services. Maintain enough staff for normal operations, on-call rotations, and vacations to prevent burnout. Implement regular training and skill assessments.**Desired Outcome:** Adequate trained personnel to support workload availability.**Common Anti-patterns:** Untrained teams, insufficient personnel for rotations.**Benefits:** Effective workload support, reduced burnout risk.**Level of Risk:** High if not established.**Implementation Steps:**1. Assign adequate personnel for workload operations, including on-call.2. Train staff on relevant software and platforms.3. Regularly assess team size and skills, adjusting as needed.**Level of Effort:** High, but long-term benefits substantial.**Related Best Practices:** OPS11-BP04 (Knowledge Management).  **Resources:** AWS Training and Certification, AWS Events and Webinars."
OPS07-BP02,Ensure a consistent review of operational readiness,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_ready_to_support_const_orr.html,Operational Excellence,Operational readiness and change management,unknown,"**Compliance Control for Operational Readiness Reviews (ORRs)**Use ORRs to validate operational readiness. ORRs, developed at Amazon, are checklists ensuring safe workload operation. They include architecture, operational processes, event management, release quality, and governance. Conduct ORRs pre-launch and periodically to catch drift from best practices. Avoid launching without readiness checks, missing governance, or repeating failures. Benefits include incorporating lessons learned and ensuring required procedures. High risk if not established. ORRs should be supported by executive sponsorship and stakeholders. Use AWS services like Config and Security Hub to automate best practices. Example: AnyCompany Retail improved post-incident with ORRs. Steps: gather stakeholders, create a checklist, and run ORRs pre-launch and annually. High effort needed for adoption. Related practices: governance, compliance, resource planning, change management, personnel capability, security, disaster recovery, cost management."
OPS07-BP03,Use runbooks to perform procedures,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_ready_to_support_use_runbooks.html,Operational Excellence,Operational readiness and change management,Medium,"**Compliance Control for Runbooks:**A runbook is a step-by-step guide for workload tasks, essential for consistent outcomes. It should be centrally published, updated, and include error handling, tools, permissions, and escalations. As your organization matures, automate runbooks using scripting and AWS Systems Manager. Avoid relying on memory, manual changes, or inconsistent processes. Benefits include reduced error rates and consistent operations. Medium risk if not established. Start with a text document, validate, and automate as needed. Use AWS Systems Manager Automation for low-code visual design. Related best practices include identified process owners, issue investigation playbooks, and knowledge management. **Implementation Effort: Low.**"
OPS07-BP04,Use playbooks to investigate issues,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_ready_to_support_use_playbooks.html,Operational Excellence,Operational readiness and change management,Medium,"**Compliance Control for Incident Playbooks**Ensure your organization has incident playbooks for common issues, stored centrally, and frequently updated. Playbooks should guide users step-by-step, detailing tools and permissions needed, communication plans, escalation paths, and links to runbooks for known root causes. As maturity grows, automate playbooks starting with low-risk incidents using scripting, and utilize AWS Systems Manager Automations for faster incident resolution. Avoid anti-patterns like unstructured investigations and reliance on muscle memory. Benefits include consistent incident identification, faster recovery, and quicker team onboarding. Establish this practice to mitigate medium-level risks. For implementation, start with a text document repository, evolve to automation, and follow AWS guidance for tools and templates."
OPS07-BP05,Make informed decisions to deploy systems and changes,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_ready_to_support_informed_deploy_decisions.html,Operational Excellence,Operational readiness and change management,Low,"**Compliance Control for Change Management:**Implement processes for both successful and unsuccessful changes to your workload. Use pre-mortems to simulate failures and develop mitigation strategies. Evaluate benefits and risks, ensuring all changes comply with governance. Desired outcome: informed decisions and governance compliance. Common anti-patterns include deploying changes without rollback processes or governance checks. Benefits: preparedness for failures and compliance. Risk level: low if not established. Use pre-mortems, document processes, verify compliance, and run tabletop exercises. Example: AnyCompany Retail uses pre-mortems and documents processes in a shared Wiki. Steps: establish criteria, develop rollback scenarios, weigh benefits vs. risks, verify compliance, and use pre-mortems. Effort: moderate. Related best practices: OPS01-BP03, OPS06-BP01, OPS06-BP02, OPS07-BP01. Related docs: AWS Risk and Compliance, AWS Shared Responsibility Model, Governance in the AWS Cloud."
OPS07-BP06,Create support plans for production workloads,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_ready_to_support_enable_support_plans.html,Operational Excellence,Operational readiness and change management,Low,"**Compliance Control for Software and Service Support Plans****Objective:** Ensure all production workloads have adequate support plans and documentation for timely issue resolution.**Control Measures:**1. **Support Plan Activation:** Enable support plans for all software and service vendors critical to production workloads. For AWS, activate Business Support or higher.   2. **Service-Level Agreement (SLA):** Select a support plan aligning with production service-level needs.3. **Documentation:** Create and maintain documentation on how to request and escalate support, including vendor contact information.4. **Contact Updates:** Implement mechanisms to regularly update vendor support contacts.**Outcomes:**- Support plans for all critical dependencies.- Appropriate SLAs based on production needs.- Clear, accessible documentation for support requests.**Risks:** - Production outages due to lack of support plans.- Increased response times due to outdated contact info.- Inability to escalate issues during outages.**Effort:** Low; most vendors offer easy opt-in support plans.**Example:** AnyCompany Retail has AWS Enterprise Support and maintains a wiki for support procedures.**Related Practices:** OPS02-BP02 for process ownership."
OPS08-BP01,Analyze workload metrics,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_workload_observability_analyze_workload_metrics.html,Operational Excellence,Utilizing workload observability,Medium,"**Compliance Control for Application Telemetry Analysis****Objective:** Ensure accurate insights into workload performance to drive data-informed decisions aligned with business objectives.**Key Actions:**1. Regularly analyze application telemetry metrics focusing on latency, requests, errors, and capacity.2. Prioritize business outcome metrics for data-driven decision-making.3. Utilize tools like Amazon CloudWatch for centralized metric analysis, anomaly detection, and cross-account observability.**Risk:** Medium. Failure to establish this practice may lead to poor alignment with business objectives.**Related Best Practices:** OPS04-BP01, OPS04-BP02.**Resources:** Amazon CloudWatch, Amazon DevOps Guru."
OPS08-BP02,Analyze workload logs,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_workload_observability_analyze_workload_logs.html,Operational Excellence,Utilizing workload observability,Medium,"Compliance Control (max 500 chars):Regularly analyze workload logs with Amazon CloudWatch Logs to optimize app performance and security. Use tools like Logs Insights and anomaly detection for proactive issue detection. Avoid manual reviews; leverage automation. Establish this best practice to identify bottlenecks, threats, and optimize operations, reducing medium risk. Utilize CloudWatch Logs Insights for querying, pattern analysis, and real-time monitoring via Live Tail."
OPS08-BP03,Analyze workload traces,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_workload_observability_analyze_workload_traces.html,Operational Excellence,Utilizing workload observability,Medium,"**Compliance Control for Trace Data Analysis**To ensure comprehensive visibility into your application's operations, analyze trace data by integrating AWS X-Ray. Visualize interactions, identify bottlenecks, and enhance user experience. Avoid anti-patterns like overlooking trace data or not correlating it with logs. Benefits include improved troubleshooting, reduced MTTR, and better user experiences. Establish this practice to mitigate medium-level risks. Use X-Ray features like ServiceLens, Insights, Analytics, and DevOps Guru for deeper insights. Steps include integrating X-Ray, analyzing metrics, leveraging ServiceLens, enabling Insights, using Analytics, creating X-Ray groups, and correlating with logs."
OPS08-BP04,Create actionable alerts,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_workload_observability_create_alerts.html,Operational Excellence,Utilizing workload observability,High,"Compliance Control Summary (max 500 chars):Ensure timely, relevant alerts for KPI risks and anomalies. Prioritize alerts based on KPIs to avoid alert fatigue, address root causes for non-repetitive alerts, and integrate with tools like Amazon CloudWatch, X-Ray Insights, and DevOps Guru for anomaly detection. Use composite alarms, minimize non-critical alerts, and refine configurations regularly. Focus on actionable alerts to enhance system reliability and team collaboration. Failure to establish this practice exposes high risk."
OPS08-BP05,Create dashboards,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_workload_observability_create_dashboards.html,Operational Excellence,Utilizing workload observability,unknown,"**Compliance Control for Dashboards****Outcome**: Clear, actionable insights into system and business health.**Anti-patterns**:- Overloading dashboards with excessive metrics.- Solely relying on dashboards for anomaly detection.- Failing to update dashboards as workloads change.**Benefits**:- Immediate visibility into critical metrics and KPIs.- Improved stakeholder communication.- Quick insights into operational issue impacts.**Risk level**: Medium if not established.**Business-centric dashboards**: Tailor dashboards to business KPIs to engage stakeholders and align with business goals, ensuring clarity and actionability.**Basic setup**:- Create a descriptive CloudWatch dashboard.- Use Markdown for context and links.- Incorporate dashboard variables for flexibility.- Add metric widgets for system health and business outcomes.- Utilize Log Insights and alarms for actionable insights.- Integrate Contributor Insights for top contributor analysis.- Design custom widgets as needed.- Leverage AWS Health Dashboard for account health insights.- Regularly iterate and refine the dashboard.**Related best practices**:- Identify key performance indicators (OPS04-BP01).- Analyze workload metrics, logs, and traces (OPS08-BP01-04).- Create actionable alerts (OPS08-BP04).**Documents/videos/examples**:- Building Dashboards for Operational Visibility- Using Amazon CloudWatch Dashboards- Create Cross Account & Cross Region CloudWatch Dashboards- AWS re:Invent 2021 - Gain enterprise visibility with AWS Cloud operation dashboards- One Observability Workshop- Application Monitoring with Amazon CloudWatch- AWS Health Events Intelligence Dashboards and Insights- Visualize AWS Health events using Amazon Managed Grafana"
OPS09-BP01,Measure operations goals and KPIs with metrics,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_operations_health_measure_ops_goals_kpis.html,Operational Excellence,Understanding operational health,Medium,"Compliance Control (max 500 chars):Establish KPIs and metrics aligning with organizational goals for operations success. Set baselines and regularly reevaluate. Collect metrics via mechanisms like DORA for software delivery. Publish goals and KPIs for teams. Examples: ticket queue depth, issue type counts, SOP adherence time, recovery time post-failed code push, call volume. Avoid anti-patterns like unmeasured troubleshooting, unstaffed Tier 1 desks, and undocumented workloads. Benefits: Insight into workload consumer changes, team effectiveness, and service level targets. Risk: Medium without best practice. Schedule with leaders to define goals, tasks, and KPIs. Use Amazon tools like QuickSight and CloudWatch for tracking."
OPS09-BP02,Communicate status and trends to ensure visibility into operation,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_operations_health_communicate_status_trends.html,Operational Excellence,Understanding operational health,Medium,"**Compliance Control Summary (max 500 chars)**Establish dashboards and status pages for real-time operational insights. Ensure metrics like call volumes and incident ownership are visible. Disseminate alerts and reports proactively to leadership and stakeholders. Avoid duplication and delays by sharing incident updates and recovery timelines. This practice minimizes communication strain, optimizes resource allocation, and reduces risks from undetected operational issues. Medium risk if unestablished. Align with OPS09-BP01 for KPI measurement. Related: Measure Progress, Building dashboards, Data Operations, KPI Dashboards."
OPS09-BP03,Review operations metrics and prioritize improvement,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_operations_health_review_ops_metrics_prioritize_improvement.html,Operational Excellence,Understanding operational health,Medium,"**Compliance Control for Operations Review:**Ensure dedicated time for regular operations reviews among leaders and stakeholders to assess metrics, goals, and improvements. Weekly meetings should discuss challenges, celebrate wins, and share lessons learned. Brief stakeholders on operational status and solicit input on goals and KPIs. Avoid anti-patterns like delayed responses to metrics and neglecting automation needs. Establish this to maintain service delivery, prevent deterioration, and ensure operations evolve with business growth. Medium risk if unestablished. Use Amazon Athena, CloudWatch, and QuickSight for data analysis. (Characters: 478)"
OPS10-BP01,"Use a process for event, incident, and problem management",https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_event_response_event_incident_problem_process.html,Operational Excellence,Responding to events,High,"**Compliance Control for Managing Events, Incidents, and Problems****Objective:** Ensure efficient management of operational events, incidents, and problems to maintain workload health and performance.**Key Elements:**1. **Monitoring and Processes:**   - Implement observability tools (AWS CloudTrail, EventBridge, Config).   - Develop processes for event assessment, escalation, and incident response.   2. **Incident Management:**   - Use AWS Systems Manager Ops Center, CloudWatch, X-Ray for incident response.   - Establish structured incident management with clear roles and protocols.   3. **Problem Management:**   - Identify underlying causes of incidents using CloudTrail, CloudWatch.   - Develop problem management processes with root cause analysis and updates to policies.   4. **Continuous Improvement:**   - Conduct post-incident analyses and share lessons learned.   - Regularly review and update processes to align with business and technology changes.   **Anti-Patterns to Avoid:**- Reactive responses to events.- Inconsistent approaches to different events/incidents.- Lack of analysis and learning from incidents.**Benefits:**- Streamlined response processes.- Reduced incident impact.- Expedited issue resolution.- Continuous operational improvement.**Risk Level:** High if not established.**Implementation Effort:** Medium. Engage AWS Support as needed.**Related Best Practices and Resources:** OPS04-BP01, OPS04-BP02, etc. Refer to AWS Security Incident Response Guide, AWS Incident Detection and Response, and related videos/examples."
OPS10-BP02,Have a process per alert,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_event_response_process_per_alert.html,Operational Excellence,Responding to events,High,"**Compliance Control for Alert Management****Objective:** Ensure every alert triggers a specific, actionable response with clear ownership and escalation paths, linked to an updated knowledge base for consistent, quick responses.**Control Measures:**1. **Defined Response Plans:** Establish clear, predefined response plans for each alert type.2. **Automation:** Automate responses where feasible, ensuring quick, uniform actions.3. **Ownership and Escalation:** Assign clear ownership and define escalation paths for each alert.4. **Knowledge Base:** Link alerts to an up-to-date knowledge base for consistent responses.5. **Monitoring:** Use composite alarms and AWS Health events to reduce alert fatigue and manage operational issues effectively.**Risk Level:** High if not established.**Implementation:** Utilize AWS Systems Manager Incident Manager for streamlined incident response and integrate with Amazon CloudWatch and EventBridge for automated incident creation and response.**Related Practices:** OPS04-BP01, OPS08-BP04."
OPS10-BP03,Prioritize operational events based on business impact,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_event_response_prioritize_events.html,Operational Excellence,Responding to events,High,"**Compliance Control for Operational Event Prioritization****Objective:** Prioritize responses to operational events based on their potential business impact to ensure efficiency and effectiveness.**Key Elements:**1. **Impact Assessment:** Classify events into high, medium, and low impact categories based on factors like financial loss, safety, and reputational damage.2. **Urgency Levels:** Define urgency levels (high, medium, low) based on factors like safety and financial implications.3. **Prioritization Matrix:** Create a matrix to cross-reference impact and urgency, assigning priority levels.4. **Training:** Train response teams on the matrix and communicate its importance.5. **Integration:** Embed the matrix in incident response plans and automate where possible.6. **Review:** Regularly assess and adapt the prioritization process.**Anti-Patterns:**- Treating all events with equal urgency.- Failing to distinguish between high and low impact events.- Lack of a clear prioritization framework.- Prioritizing based on order of report rather than impact.**Benefits:** Ensures critical functions are prioritized, improves resource allocation, and maintains trust and regulatory compliance.**Risk:** High risk of damage if not established."
OPS10-BP04,Define escalation paths,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_event_response_define_escalation_paths.html,Operational Excellence,Responding to events,Medium,"Establish clear escalation paths in incident response protocols for timely action. Specify escalation triggers, define processes, and pre-approve actions to expedite decision-making, reducing MTTR. Ensure clear ownership, third-party SLAs, and regular training. Benefits include streamlined response, reduced downtime, and improved stakeholder communication. Without this, risks medium impact. Use AWS Systems Manager Incident Manager for structured escalation plans. Moderate effort for implementation. Related practices: actionable alerts, post-incident analysis. Docs: AWS Incident Manager, IAM Identity Center."
OPS10-BP05,Define a customer communication plan for service-impacting events,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_event_response_push_notify.html,Operational Excellence,Responding to events,Medium,"**Compliance Control for Service Impacting Event Communication****Objective:** Ensure effective, transparent, and timely communication during service impacting events to maintain customer trust and minimize disruptions.**Key Elements:**- **Communication Plan:** Develop a robust plan with predefined templates for clarity and consistency.- **Roles:** Assign a major incident manager, communications manager, and support manager.- **Channels:** Utilize resilient channels like chat, email, SMS, social media, and dashboards.- **Messaging:** Communicate quickly, clearly, and regularly with essential details on service impairment and resolution.- **Tools:** Leverage Amazon Pinpoint, Amazon SNS, and AWS Systems Manager Incident Manager for alerts and coordination.- **Internal Protocols:** Use AWS Chatbot and CloudWatch dashboards for internal team communication.- **Training and Testing:** Conduct regular drills and feedback sessions to refine communication strategies.- **Risk:** Medium risk if best practices are not established.**Anti-patterns to avoid:** Inadequate or delayed communication, technical jargon, and lack of a predefined strategy.**Benefits:** Enhanced trust, reduced support burden, and improved incident management."
OPS10-BP06,Communicate status through dashboards,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_event_response_dashboards.html,Operational Excellence,Responding to events,Medium,"**Compliance Control for Dashboards**Ensure dashboards provide real-time operational status and key metrics for internal teams, leadership, and customers. Avoid manual reporting delays and interruptions. Use tools like Amazon CloudWatch and QuickSight for interactive, real-time monitoring. Design clear, actionable dashboards with automated alarms and annotated metrics. Regularly update dashboards based on stakeholder feedback. This practice enhances transparency, reduces inefficiencies, and promotes informed decision-making. Medium risk if not established."
OPS10-BP07,Automate responses to events,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_event_response_auto_event_response.html,Operational Excellence,Responding to events,Medium,"Compliance Control (Max 500 chars):Automate event responses for error-free, consistent operational handling. Identify repetitive tasks for automation using AWS tools like EventBridge, Systems Manager, and Auto Scaling. Establish automated security responses, monitor quotas, and remediate noncompliant resources. Benefits include reduced errors, faster resolutions, and enhanced efficiency. Level of risk: Medium. High effort needed for implementation. Related: OPS08-BP04, OPS10-BP02; docs: Systems Manager Automation, CloudWatch alarms, Config Rules."
OPS11-BP01,Have a process for continuous improvement,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_evolve_ops_process_cont_imp.html,Operational Excellence,"Learn, share, and improve",High,"**Compliance Control:**Regularly review your workload against internal and external architecture best practices. Conduct frequent, intentional workload reviews and prioritize improvement opportunities into your software development cadence.**Desired Outcome:**Frequent analysis of your workload against architecture best practices.**Common Anti-Patterns:**Lack of recent architecture reviews; lower priority for improvement opportunities; no standard for implementing modifications.**Benefits:**Keep workload updated, evolve intentionally, leverage organization best practices, cumulative efficiency gains.**Risk:**High risk if not established.**Implementation Plan:**Conduct periodic architecture reviews using AWS Well-Architected Tool and internal standards, prioritize identified improvements. Effort: Low. **Related Best Practices:**OPS11-BP02, OPS11-BP08, OPS04. **Documents:**AWS Well-Architected Tool - Custom lenses, AWS Well-Architected Whitepaper.**Videos:**Well-Architected Labs, AWS re:Invent 2023.**Examples:**AWS Well-Architected Tool."
OPS11-BP02,Perform post-incident analysis,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_evolve_ops_perform_rca_process.html,Operational Excellence,"Learn, share, and improve",High,"To ensure compliance, review customer-impacting events to identify contributing factors and develop mitigations to prevent recurrence. Establish incident management processes, including post-incident analysis and observability plans for data collection. Use metrics to support analysis, learn from incidents, and improve outcomes. Avoid anti-patterns like neglecting network support and dismissing data loss. Implement a predefined process for incident root cause analysis, response procedures, and communication tailored to audiences. Share learnings and track actions. Metrics include deployment, configuration changes, and incident timelines. Questions to ask include improving detection, diagnosis, and mitigation times, and preventing future incidents. Effort: Medium. Related: OPS11-BP01, OPS 4, post-incident analysis, observability plans."
OPS11-BP03,Implement feedback loops,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_evolve_ops_feedback_loops.html,Operational Excellence,"Learn, share, and improve",High,"**Compliance Control for Feedback Loops**Implement feedback loops to drive continuous improvement. Establish immediate feedback mechanisms (e.g., surveys, A/B testing) and retrospective analyses (e.g., sprint reviews) to capture performance insights. Ensure mechanisms exist to gather and review user and team feedback regularly. Use retrospectives to identify trends and validate operational investments. Avoid anti-patterns like neglecting customer feedback post-launch or failing to review collected feedback. Benefits include faster organizational reaction to changes and trend-driven improvements. High risk is exposed if not established. Utilize tools like AWS Systems Manager OpsCenter for tracking. Example: AnyCompany Retail uses a web form for feedback and conducts weekly scrums to evaluate it. Medium effort required for implementation. Related practices include evaluating customer needs and performing post-incident analyses."
OPS11-BP04,Perform knowledge management,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_evolve_ops_knowledge_management.html,Operational Excellence,"Learn, share, and improve",High,"**Compliance Control for Knowledge Management****Desired Outcome:**- Team access to timely, accurate info.- Searchable info.- Mechanisms for adding, updating, archiving.**Common Anti-patterns:**- No centralized storage; local notes.- Self-hosted wiki, outdated info.- Missing info; no request process; manual add, missed step.**Benefits:**- Empowered team; free info sharing.- Faster onboarding; updated, searchable docs.- Accurate, timely, actionable info.**Risk Level: High** if best practice not established.**Implementation Steps:**1. Identify content management system; get stakeholder buy-in.2. If no system, consider self-hosted wiki or version control.3. Develop info adding/updating/archiving runbooks; educate team.4. Prioritize knowledge to store; start with daily activities.5. Periodically review and archive outdated info.**Related Best Practices:** OPS11-BP08 Document and share lessons learned.**Related Docs:** Atlassian - Knowledge Management**Examples:** DokuWiki, Gollum, MediaWiki, Wiki.js"
OPS11-BP05,Define drivers for improvement,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_evolve_ops_drivers_for_imp.html,Operational Excellence,"Learn, share, and improve",Medium,"**Compliance Control Summary (max 500 chars)**Establish a compliance control to track data, correlate events, and analyze business outcomes. Automate improvements where feasible. Track data for security, avoid unutilized high-cost data, and measure feature impacts. Benefits include informed decision-making and risk reduction. Risks of non-compliance are medium. Utilize AWS tools like Trusted Advisor, Compliance Programs, and dashboards for oversight. Related best practices include KPIs, observability, and feedback loops."
OPS11-BP06,Validate insights,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_evolve_ops_validate_insights.html,Operational Excellence,"Learn, share, and improve",Medium,"**Compliance Control Summary (max 500 chars):**Regularly review analysis with cross-functional teams and business owners to establish common understanding, identify impacts, and determine actions. Share insights with peers and publish for broader review. Avoid neglecting observability changes, CDN updates, and incorrect metrics. Validate insights with business owners to guide improvements, discover issues, and focus on business outcomes. Failure to establish this practice exposes medium risk. Related: OPS01-BP06, OPS02-BP06, OPS11-BP03. See CCOE, observability videos."
OPS11-BP07,Perform operations metrics reviews,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_evolve_ops_metrics_review.html,Operational Excellence,"Learn, share, and improve",Medium,"**Compliance Control Summary (max 500 chars):**Regularly analyze operations metrics with cross-team stakeholders to identify improvement opportunities and share lessons learned. Ensure timely reviews to detect anomalies, support business outcomes, and meet customer SLAs. Avoid risks like interrupted promotions and outdated libraries. Establish best practices to maintain common understanding, prioritize risks, and leverage shared insights for targeted improvements. Related practices include creating dashboards and reviewing metrics for prioritization. (Level of risk: Medium)"
OPS11-BP08,Document and share lessons learned,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_evolve_ops_share_lessons_learned.html,Operational Excellence,"Learn, share, and improve",Low,"**Compliance Control:**Document and share operational lessons learned across teams to enhance internal and cross-team benefits. Utilize AWS IAM for controlled resource access. Employ version-controlled repositories for application libraries, procedures, and infrastructure standards (AWS CloudFormation templates). Avoid anti-patterns like unshared risky libraries or internal edge cases. Establish procedures to document, share, and leverage these learnings to maximize organizational benefits.**Related Best Practices:**- OPS02-BP06: Predefined team responsibilities- OPS05-BP01: Use version control- OPS05-BP06: Share design standards- OPS11-BP03: Implement feedback loops- OPS11-BP07: Perform operations metrics reviews**Supporting Documents:**- Increase collaboration with AWS re:Post Private- Docs-as-code solution for project efficiency**Related Videos:**- AWS re:Invent 2023: Collaborate with AWS re:Post Private- Incident Management Tabletop Exercise"
OPS11-BP09,Allocate time to make improvements,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_evolve_ops_allocate_time_for_imp.html,Operational Excellence,"Learn, share, and improve",Low,"**Compliance Control (max 500 chars):**Allocate dedicated time and resources to enable continuous, incremental improvements. Create temporary environment duplicates to lower experimentation risks. Conduct game days using Fault Injection Service for production-like testing. Avoid deferring performance issues, uncompleted improvements, and neglecting retesting operational practices. Benefits include sustained enhancements; risk of inaction is low. Related: OPS05-BP08, AWS Fault Injection Service video."
SEC01-BP01,Separate workloads using accounts,https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_securely_operate_multi_accounts.html,Security,AWS account management and  separation,High,"Compliance control for multi-account AWS strategy: Establish guardrails for isolation between production, dev, and test environments. Use separate accounts for unrelated workloads to enhance security, billing, and access control. Implement a structured OU hierarchy for consistent security policy application. Utilize AWS Organizations and Control Tower for governance, automated account management, and centralized auditing. Avoid anti-patterns like mixing workloads in one account. High risk is exposed if best practices are not followed."
SEC01-BP02,Secure account root user and properties,https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_securely_operate_aws_account.html,Security,AWS account management and  separation,High,"**AWS Root User Compliance Control (max 500 chars):**Deactivate root user programmatic access, use MFA, and avoid routine use to minimize risks. Establish detective controls like alarms and GuardDuty for root usage alerts. Limit access, use a two-person rule, and test recovery methods. Secure email and phone linked to root. High risk if not implemented. Follow AWS best practices and monitor continuously. For detailed steps, consult AWS CIS Foundations and Security Audit Guidelines."
SEC01-BP03,Identify and validate control objectives,https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_securely_operate_control_objectives.html,Security,Operating your workloads securely,High,"**Compliance Control Summary (max 500 chars)**Establish control objectives aligned with compliance requirements and threat models. Implement and automate controls via AWS SCPs and Config, ensuring ongoing validation for effectiveness. Use AWS Security Hub and Config conformance packs for framework alignment. Report effectiveness to auditors, avoiding high-risk anti-patterns like misaligned frameworks or non-automated reporting. Leverage AWS Artifact for compliance documentation and APN Partner Bundles for expert guidance."
SEC01-BP04,Stay up to date with security threats and recommendations,https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_securely_operate_updated_threats.html,Security,Operating your workloads securely,High,Compliance Control (max 500 chars):Stay informed on threats via trusted industry publications and AWS Security Bulletins. Automate threat detection with AWS services like GuardDuty and Inspector. Regularly update workloads and dependencies to mitigate risks. Adopt AWS services that auto-update threat intelligence. Follow the Well-Architected Operational Excellence Pillar for automated fleet management and patching. Prioritize threat mitigations using a threat model and continuously evaluate the threat landscape.
SEC01-BP05,Reduce security management scope,https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_securely_operate_reduce_management_scope.html,Security,Operating your workloads securely,Medium,"**Compliance Control Summary (max 500 chars)**Evaluate AWS services to reduce security management scope by leveraging managed options, minimizing maintenance tasks like patching and backups. Consider TCO vs. service costs and integrate AWS compliance docs. Avoid anti-patterns like deploying without understanding shared responsibility. Benefits include reduced operational burden and compliance shift to AWS. Risks if not established: medium. Use tools like AWS Health for update management. Related: PERF02-BP01, PERF03-BP01, SUS05-BP03. Docs: AWS Health, AWS Artifact, Customer Compliance Guides. Videos: AWS DMS migration, AWS Health lifecycle events."
SEC01-BP06,Automate deployment of standard security controls,https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_securely_operate_automate_security_controls.html,Security,Operating your workloads securely,Â Medium,"**Compliance Control for Standard Security Controls in AWS**Implement modern DevOps practices to define, test, and deploy standardized security controls across AWS environments using Infrastructure as Code (IaC) templates. Store templates in version control, automate testing via CI/CD pipelines, and deploy changes automatically. Avoid manual changes and separation of duties issues. Benefits include improved standardization, reduced risks, and early control integration. Key anti-patterns to avoid include manual changes, lack of central control, and insufficient automation. Related best practices include version control, build management, and automated deployment. Tools: AWS CloudFormation Guard, AWS CodePipeline, AWS CodeBuild, AWS CodeDeploy, Service Catalog."
SEC01-BP07,Identify threats and prioritize mitigations using a threat model,https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_securely_operate_threat_model.html,Security,Operating your workloads securely,High,"**Threat modeling compliance control (max 500 chars):**Perform threat modeling early in the lifecycle to maintain an updated register of threats and mitigations. Prioritize threats and adapt security controls to prevent, detect, and respond. Regularly revisit in context of evolving security landscape. Failure to establish this practice exposes high risk. Use Shostack’s 4 Questions and Threat Composer tool for structured approach. Align with SEC01-BP03, SEC01-BP04, SEC01-BP05, SEC01-BP08. For guidance, refer to AWS Security Blog and NIST guide."
